model,accuracy,precision,recall,f1,mcc,auc_roc,pr_auc,threshold,train_time_sec
Logistic Regression,0.9993679997191108,0.8522727272727273,0.7653061224489796,0.8064516129032258,0.8073074345493427,0.9736197465058054,0.7119579705555309,0.9999999993442528,1.519680100002006
Random Forest,0.9995611109160492,0.9101123595505618,0.826530612244898,0.8663101604278075,0.867098995293745,0.95684108090338,0.8430706204931149,0.5,15.241552900002716
XGBoost,0.9995084442259752,0.8804347826086957,0.826530612244898,0.8526315789473684,0.8528123886740858,0.9756951422943968,0.8737213963216041,0.5,2.1026216999998724
RXT (ResNeXt-GRU),0.9989115550718023,0.7142857142857143,0.6122448979591837,0.6593406593406593,0.6607628593543049,0.9635659518450037,0.613646194619094,0.9879886125886301,1140.6099281000024
